city,request sent,response received
Rikitea,Request 1 sent for rikitea.,Response code 200 received for rikitea.
Busselton,Request 2 sent for busselton.,Response code 200 received for busselton.
Hithadhoo,Request 3 sent for hithadhoo.,Response code 200 received for hithadhoo.
Thompson,Request 4 sent for thompson.,Response code 200 received for thompson.
Tasiilaq,Request 5 sent for tasiilaq.,Response code 200 received for tasiilaq.
Mataura,Request 6 sent for mataura.,Response code 200 received for mataura.
Yellowknife,Request 8 sent for yellowknife.,Response code 200 received for yellowknife.
Cabra,Request 10 sent for cabra.,Response code 200 received for cabra.
Tiksi,Request 11 sent for tiksi.,Response code 200 received for tiksi.
Kapaa,Request 13 sent for kapaa.,Response code 200 received for kapaa.
Saint Paul Harbor,Request 14 sent for kodiak.,Response code 200 received for kodiak.
Mount Isa,Request 15 sent for mount isa.,Response code 200 received for mount isa.
Port-Gentil,Request 16 sent for port-gentil.,Response code 200 received for port-gentil.
Emmett,Request 17 sent for emmett.,Response code 200 received for emmett.
Grindavik,Request 19 sent for grindavik.,Response code 200 received for grindavik.
Porgera,Request 20 sent for porgera.,Response code 200 received for porgera.
Tuatapere,Request 21 sent for tuatapere.,Response code 200 received for tuatapere.
Tual,Request 22 sent for tual.,Response code 200 received for tual.
Garoowe,Request 23 sent for garowe.,Response code 200 received for garowe.
Bengkulu,Request 24 sent for bengkulu.,Response code 200 received for bengkulu.
Ust-Maya,Request 25 sent for ust-maya.,Response code 200 received for ust-maya.
Awjilah,Request 26 sent for awjilah.,Response code 200 received for awjilah.
Tuensang,Request 27 sent for tuensang.,Response code 200 received for tuensang.
Bluff,Request 28 sent for bluff.,Response code 200 received for bluff.
Moranbah,Request 30 sent for moranbah.,Response code 200 received for moranbah.
Butaritari,Request 31 sent for butaritari.,Response code 200 received for butaritari.
Atar,Request 32 sent for atar.,Response code 200 received for atar.
Karpathos,Request 33 sent for karpathos.,Response code 200 received for karpathos.
Saskylakh,Request 34 sent for saskylakh.,Response code 200 received for saskylakh.
Hilo,Request 35 sent for hilo.,Response code 200 received for hilo.
Severo-Kuril'sk,Request 36 sent for severo-kurilsk.,Response code 200 received for severo-kurilsk.
Vostok,Request 37 sent for vostok.,Response code 200 received for vostok.
Ogbomosho,Request 38 sent for ogbomosho.,Response code 200 received for ogbomosho.
Tuktoyaktuk,Request 39 sent for tuktoyaktuk.,Response code 200 received for tuktoyaktuk.
Punta Arenas,Request 40 sent for punta arenas.,Response code 200 received for punta arenas.
Harlingen,Request 41 sent for harlingen.,Response code 200 received for harlingen.
Arraial do Cabo,Request 42 sent for arraial do cabo.,Response code 200 received for arraial do cabo.
Port Elizabeth,Request 43 sent for port elizabeth.,Response code 200 received for port elizabeth.
Colac,Request 44 sent for colac.,Response code 200 received for colac.
Damietta,Request 45 sent for damietta.,Response code 200 received for damietta.
Bathsheba,Request 46 sent for bathsheba.,Response code 200 received for bathsheba.
Bethel,Request 47 sent for bethel.,Response code 200 received for bethel.
Abay,Request 48 sent for abay.,Response code 200 received for abay.
Jamestown,Request 49 sent for jamestown.,Response code 200 received for jamestown.
Lata,Request 50 sent for lata.,Response code 200 received for lata.
Saint-Philippe,Request 51 sent for saint-philippe.,Response code 200 received for saint-philippe.
Qaanaaq,Request 52 sent for qaanaaq.,Response code 200 received for qaanaaq.
Homer,Request 53 sent for homer.,Response code 200 received for homer.
George Town,Request 54 sent for georgetown.,Response code 200 received for georgetown.
Qaqortoq,Request 55 sent for qaqortoq.,Response code 200 received for qaqortoq.
Laela,Request 56 sent for laela.,Response code 200 received for laela.
Port Alfred,Request 57 sent for port alfred.,Response code 200 received for port alfred.
Ayagoz,Request 58 sent for ayagoz.,Response code 200 received for ayagoz.
Lebu,Request 59 sent for lebu.,Response code 200 received for lebu.
São Filipe,Request 60 sent for sao filipe.,Response code 200 received for sao filipe.
Along,Request 61 sent for along.,Response code 200 received for along.
Barrow,Request 62 sent for barrow.,Response code 200 received for barrow.
Cabo San Lucas,Request 64 sent for cabo san lucas.,Response code 200 received for cabo san lucas.
San Patricio,Request 66 sent for san patricio.,Response code 200 received for san patricio.
Ushuaia,Request 67 sent for ushuaia.,Response code 200 received for ushuaia.
Wagar,Request 69 sent for wagar.,Response code 200 received for wagar.
Felipe Carrillo Puerto,Request 70 sent for felipe carrillo puerto.,Response code 200 received for felipe carrillo puerto.
Mincivan,Request 71 sent for mincivan.,Response code 200 received for mincivan.
Westport,Request 72 sent for westport.,Response code 200 received for westport.
Chokurdakh,Request 73 sent for chokurdakh.,Response code 200 received for chokurdakh.
Elko,Request 74 sent for elko.,Response code 200 received for elko.
Hofn,Request 75 sent for hofn.,Response code 200 received for hofn.
San Jerónimo,Request 76 sent for san jeronimo.,Response code 200 received for san jeronimo.
Cherskiy,Request 77 sent for cherskiy.,Response code 200 received for cherskiy.
Avarua,Request 78 sent for avarua.,Response code 200 received for avarua.
Namie,Request 79 sent for namie.,Response code 200 received for namie.
Castro,Request 80 sent for castro.,Response code 200 received for castro.
Lüderitz,Request 81 sent for luderitz.,Response code 200 received for luderitz.
Cape Town,Request 82 sent for cape town.,Response code 200 received for cape town.
Roald,Request 84 sent for roald.,Response code 200 received for roald.
Abu Kamal,Request 85 sent for abu kamal.,Response code 200 received for abu kamal.
Terrace Bay,Request 86 sent for terrace bay.,Response code 200 received for terrace bay.
Hobart,Request 87 sent for hobart.,Response code 200 received for hobart.
Białogard,Request 88 sent for bialogard.,Response code 200 received for bialogard.
Sola,Request 89 sent for sola.,Response code 200 received for sola.
Wanlaweyn,Request 90 sent for wanlaweyn.,Response code 200 received for wanlaweyn.
Albany,Request 91 sent for albany.,Response code 200 received for albany.
Vanavara,Request 92 sent for vanavara.,Response code 200 received for vanavara.
Nabire,Request 93 sent for nabire.,Response code 200 received for nabire.
Sambava,Request 94 sent for sambava.,Response code 200 received for sambava.
Vaini,Request 95 sent for vaini.,Response code 200 received for vaini.
Puerto Ayora,Request 97 sent for puerto ayora.,Response code 200 received for puerto ayora.
Hasaki,Request 98 sent for hasaki.,Response code 200 received for hasaki.
La Asuncion,Request 99 sent for la asuncion.,Response code 200 received for la asuncion.
Wanning,Request 100 sent for wanning.,Response code 200 received for wanning.
Nikolskoye,Request 101 sent for nikolskoye.,Response code 200 received for nikolskoye.
Khatanga,Request 102 sent for khatanga.,Response code 200 received for khatanga.
General Higinio Morínigo,Request 103 sent for general higinio morinigo.,Response code 200 received for general higinio morinigo.
Mar del Plata,Request 104 sent for mar del plata.,Response code 200 received for mar del plata.
Provideniya,Request 105 sent for provideniya.,Response code 200 received for provideniya.
Kajiado,Request 106 sent for kajiado.,Response code 200 received for kajiado.
Whitehorse,Request 107 sent for whitehorse.,Response code 200 received for whitehorse.
San-Pédro,Request 108 sent for san-pedro.,Response code 200 received for san-pedro.
Half Moon Bay,Request 109 sent for half moon bay.,Response code 200 received for half moon bay.
Quepos,Request 110 sent for quepos.,Response code 200 received for quepos.
San Juan,Request 111 sent for san juan.,Response code 200 received for san juan.
Aksarka,Request 112 sent for aksarka.,Response code 200 received for aksarka.
Bom Jardim,Request 113 sent for bom jardim.,Response code 200 received for bom jardim.
Wakkanai,Request 114 sent for wakkanai.,Response code 200 received for wakkanai.
Dikson,Request 115 sent for dikson.,Response code 200 received for dikson.
Upernavik,Request 116 sent for upernavik.,Response code 200 received for upernavik.
Buluang,Request 117 sent for buluang.,Response code 200 received for buluang.
New Norfolk,Request 118 sent for new norfolk.,Response code 200 received for new norfolk.
Alofi,Request 119 sent for alofi.,Response code 200 received for alofi.
Vilyuysk,Request 120 sent for vilyuysk.,Response code 200 received for vilyuysk.
Piranhas,Request 121 sent for piranhas.,Response code 200 received for piranhas.
Yagodnoye,Request 122 sent for yagodnoye.,Response code 200 received for yagodnoye.
Baykit,Request 123 sent for baykit.,Response code 200 received for baykit.
Kruisfontein,Request 124 sent for kruisfontein.,Response code 200 received for kruisfontein.
Camaná,Request 125 sent for camana.,Response code 200 received for camana.
Pangody,Request 126 sent for pangody.,Response code 200 received for pangody.
Lebedinyy,Request 127 sent for lebedinyy.,Response code 200 received for lebedinyy.
Bugul'ma,Request 128 sent for bugulma.,Response code 200 received for bugulma.
Bredasdorp,Request 129 sent for bredasdorp.,Response code 200 received for bredasdorp.
Ranipur,Request 130 sent for ranipur.,Response code 200 received for ranipur.
Saldanha,Request 131 sent for saldanha.,Response code 200 received for saldanha.
Brae,Request 132 sent for brae.,Response code 200 received for brae.
Río Gallegos,Request 134 sent for rio gallegos.,Response code 200 received for rio gallegos.
São Gabriel da Cachoeira,Request 135 sent for sao gabriel da cachoeira.,Response code 200 received for sao gabriel da cachoeira.
Port Shepstone,Request 136 sent for port shepstone.,Response code 200 received for port shepstone.
Kailua,Request 137 sent for kailua.,Response code 200 received for kailua.
Mahenge,Request 138 sent for mahenge.,Response code 200 received for mahenge.
Mahébourg,Request 139 sent for mahebourg.,Response code 200 received for mahebourg.
Fort Nelson,Request 140 sent for fort nelson.,Response code 200 received for fort nelson.
Yuncheng,Request 141 sent for yuncheng.,Response code 200 received for yuncheng.
Rabo de Peixe,Request 142 sent for rabo de peixe.,Response code 200 received for rabo de peixe.
Houma,Request 143 sent for houma.,Response code 200 received for houma.
Ponta do Sol,Request 144 sent for ponta do sol.,Response code 200 received for ponta do sol.
Riyadh,Request 145 sent for riyadh.,Response code 200 received for riyadh.
Dingle,Request 146 sent for dingle.,Response code 200 received for dingle.
Caconda,Request 147 sent for caconda.,Response code 200 received for caconda.
Puerto Ayacucho,Request 148 sent for puerto ayacucho.,Response code 200 received for puerto ayacucho.
Touros,Request 149 sent for touros.,Response code 200 received for touros.
Saint-François,Request 150 sent for saint-francois.,Response code 200 received for saint-francois.
Pevek,Request 151 sent for pevek.,Response code 200 received for pevek.
Charyshskoye,Request 152 sent for charyshskoye.,Response code 200 received for charyshskoye.
Vila Franca do Campo,Request 153 sent for vila franca do campo.,Response code 200 received for vila franca do campo.
Qingdao,Request 154 sent for qingdao.,Response code 200 received for qingdao.
Port Moresby,Request 155 sent for port moresby.,Response code 200 received for port moresby.
Atuona,Request 156 sent for atuona.,Response code 200 received for atuona.
Honningsvåg,Request 157 sent for honningsvag.,Response code 200 received for honningsvag.
Flinders,Request 158 sent for flinders.,Response code 200 received for flinders.
Ancud,Request 159 sent for ancud.,Response code 200 received for ancud.
Chui,Request 160 sent for chuy.,Response code 200 received for chuy.
Omboué,Request 161 sent for omboue.,Response code 200 received for omboue.
Dunedin,Request 162 sent for dunedin.,Response code 200 received for dunedin.
Khovd,Request 163 sent for hovd.,Response code 200 received for hovd.
Faanui,Request 164 sent for faanui.,Response code 200 received for faanui.
Sitka,Request 165 sent for sitka.,Response code 200 received for sitka.
Cavalcante,Request 166 sent for cavalcante.,Response code 200 received for cavalcante.
Ribeira Grande,Request 167 sent for ribeira grande.,Response code 200 received for ribeira grande.
Road Town,Request 168 sent for road town.,Response code 200 received for road town.
Tongliao,Request 169 sent for tongliao.,Response code 200 received for tongliao.
Kavieng,Request 170 sent for kavieng.,Response code 200 received for kavieng.
Beringovskiy,Request 171 sent for beringovskiy.,Response code 200 received for beringovskiy.
Ayan,Request 172 sent for ayan.,Response code 200 received for ayan.
Moussoro,Request 173 sent for moussoro.,Response code 200 received for moussoro.
Torbay,Request 174 sent for torbay.,Response code 200 received for torbay.
Hong Kong,Request 175 sent for victoria.,Response code 200 received for victoria.
Eirunepé,Request 176 sent for eirunepe.,Response code 200 received for eirunepe.
Archidona,Request 177 sent for archidona.,Response code 200 received for archidona.
Katsuura,Request 178 sent for katsuura.,Response code 200 received for katsuura.
Taltal,Request 179 sent for taltal.,Response code 200 received for taltal.
Carnarvon,Request 180 sent for carnarvon.,Response code 200 received for carnarvon.
Kirksville,Request 181 sent for kirksville.,Response code 200 received for kirksville.
Diffa,Request 182 sent for diffa.,Response code 200 received for diffa.
Esperance,Request 183 sent for esperance.,Response code 200 received for esperance.
Luoyang,Request 184 sent for luoyang.,Response code 200 received for luoyang.
‘Āhuimanu,Request 185 sent for ahuimanu.,Response code 200 received for ahuimanu.
Kuching,Request 186 sent for kuching.,Response code 200 received for kuching.
Muswellbrook,Request 187 sent for muswellbrook.,Response code 200 received for muswellbrook.
Rocha,Request 188 sent for rocha.,Response code 200 received for rocha.
Kropotkin,Request 189 sent for kropotkin.,Response code 200 received for kropotkin.
Novokayakent,Request 190 sent for novokayakent.,Response code 200 received for novokayakent.
Souillac,Request 191 sent for souillac.,Response code 200 received for souillac.
Kaitangata,Request 193 sent for kaitangata.,Response code 200 received for kaitangata.
Coahuayana Viejo,Request 194 sent for coahuayana.,Response code 200 received for coahuayana.
Kawalu,Request 196 sent for kawalu.,Response code 200 received for kawalu.
Pacific Grove,Request 197 sent for pacific grove.,Response code 200 received for pacific grove.
Nānākuli,Request 198 sent for nanakuli.,Response code 200 received for nanakuli.
Shabo,Request 199 sent for shabo.,Response code 200 received for shabo.
Chaiya,Request 200 sent for chaiya.,Response code 200 received for chaiya.
Andenes,Request 201 sent for andenes.,Response code 200 received for andenes.
Jurm,Request 202 sent for jurm.,Response code 200 received for jurm.
Tabuk,Request 203 sent for tabuk.,Response code 200 received for tabuk.
Qeshm,Request 204 sent for qeshm.,Response code 200 received for qeshm.
Angoche,Request 205 sent for angoche.,Response code 200 received for angoche.
Makakilo City,Request 206 sent for makakilo city.,Response code 200 received for makakilo city.
Lorengau,Request 207 sent for lorengau.,Response code 200 received for lorengau.
Golden,Request 208 sent for golden.,Response code 200 received for golden.
Te Anau,Request 209 sent for te anau.,Response code 200 received for te anau.
Russell,Request 211 sent for russell.,Response code 200 received for russell.
Bose,Request 213 sent for bose.,Response code 200 received for bose.
Ahipara,Request 214 sent for ahipara.,Response code 200 received for ahipara.
Emerald,Request 215 sent for emerald.,Response code 200 received for emerald.
Bintulu,Request 217 sent for bintulu.,Response code 200 received for bintulu.
East London,Request 218 sent for east london.,Response code 200 received for east london.
Aklavik,Request 220 sent for aklavik.,Response code 200 received for aklavik.
Kavaratti,Request 221 sent for kavaratti.,Response code 200 received for kavaratti.
Hay River,Request 222 sent for hay river.,Response code 200 received for hay river.
Den Helder,Request 223 sent for den helder.,Response code 200 received for den helder.
Barrhead,Request 224 sent for barrhead.,Response code 200 received for barrhead.
Inuvik,Request 226 sent for inuvik.,Response code 200 received for inuvik.
Yako,Request 227 sent for yako.,Response code 200 received for yako.
Ilulissat,Request 228 sent for ilulissat.,Response code 200 received for ilulissat.
Irsha,Request 229 sent for irsha.,Response code 200 received for irsha.
Huarmey,Request 230 sent for huarmey.,Response code 200 received for huarmey.
Tiarei,Request 231 sent for tiarei.,Response code 200 received for tiarei.
Huacho,Request 232 sent for huacho.,Response code 200 received for huacho.
Korla,Request 233 sent for korla.,Response code 200 received for korla.
Clyde River,Request 234 sent for clyde river.,Response code 200 received for clyde river.
Haines Junction,Request 235 sent for haines junction.,Response code 200 received for haines junction.
Cidreira,Request 236 sent for cidreira.,Response code 200 received for cidreira.
Pandan,Request 237 sent for pandan.,Response code 200 received for pandan.
Datong,Request 239 sent for datong.,Response code 200 received for datong.
Nagbalaye,Request 240 sent for nagbalaye.,Response code 200 received for nagbalaye.
Kŭlob,Request 241 sent for kulob.,Response code 200 received for kulob.
Verkhnyaya Inta,Request 242 sent for verkhnyaya inta.,Response code 200 received for verkhnyaya inta.
Hamilton,Request 243 sent for hamilton.,Response code 200 received for hamilton.
Kudahuvadhoo,Request 244 sent for kudahuvadhoo.,Response code 200 received for kudahuvadhoo.
Hobyo,Request 247 sent for hobyo.,Response code 200 received for hobyo.
Nago,Request 249 sent for nago.,Response code 200 received for nago.
Lompoc,Request 250 sent for lompoc.,Response code 200 received for lompoc.
Chenzhou,Request 251 sent for chenzhou.,Response code 200 received for chenzhou.
Palmas,Request 252 sent for palmas.,Response code 200 received for palmas.
Hambantota,Request 253 sent for hambantota.,Response code 200 received for hambantota.
Muzaffargarh,Request 254 sent for muzaffargarh.,Response code 200 received for muzaffargarh.
Tazovsky,Request 255 sent for tazovskiy.,Response code 200 received for tazovskiy.
Poya,Request 256 sent for poya.,Response code 200 received for poya.
Nanortalik,Request 257 sent for nanortalik.,Response code 200 received for nanortalik.
Haisyn,Request 258 sent for haysyn.,Response code 200 received for haysyn.
Beipiao,Request 259 sent for beipiao.,Response code 200 received for beipiao.
Orlik,Request 260 sent for orlik.,Response code 200 received for orlik.
Southbridge,Request 261 sent for southbridge.,Response code 200 received for southbridge.
Port Hedland,Request 262 sent for port hedland.,Response code 200 received for port hedland.
Batemans Bay,Request 264 sent for batemans bay.,Response code 200 received for batemans bay.
Benguela,Request 265 sent for benguela.,Response code 200 received for benguela.
Kushmurun,Request 266 sent for kushmurun.,Response code 200 received for kushmurun.
Dicabisagan,Request 267 sent for dicabisagan.,Response code 200 received for dicabisagan.
Kahului,Request 268 sent for kahului.,Response code 200 received for kahului.
Bahār,Request 269 sent for bahar.,Response code 200 received for bahar.
Rosetown,Request 270 sent for rosetown.,Response code 200 received for rosetown.
Skibotn,Request 271 sent for skibotn.,Response code 200 received for skibotn.
Coquimbo,Request 272 sent for coquimbo.,Response code 200 received for coquimbo.
Isangel,Request 273 sent for isangel.,Response code 200 received for isangel.
Borodino,Request 274 sent for borodino.,Response code 200 received for borodino.
Bandarbeyla,Request 275 sent for bandarbeyla.,Response code 200 received for bandarbeyla.
Khasan,Request 277 sent for khasan.,Response code 200 received for khasan.
Puerto Nariño,Request 278 sent for puerto narino.,Response code 200 received for puerto narino.
Saint-Pierre,Request 279 sent for saint-pierre.,Response code 200 received for saint-pierre.
Vardø,Request 280 sent for vardo.,Response code 200 received for vardo.
Moshny,Request 281 sent for moshny.,Response code 200 received for moshny.
Lamesa,Request 282 sent for lamesa.,Response code 200 received for lamesa.
Semporna,Request 283 sent for semporna.,Response code 200 received for semporna.
Matagami,Request 284 sent for matagami.,Response code 200 received for matagami.
Panacan,Request 285 sent for panacan.,Response code 200 received for panacan.
Pihuamo,Request 286 sent for pihuamo.,Response code 200 received for pihuamo.
Sohag,Request 287 sent for sohag.,Response code 200 received for sohag.
Talnakh,Request 288 sent for talnakh.,Response code 200 received for talnakh.
La Rioja,Request 289 sent for la rioja.,Response code 200 received for la rioja.
Bodden Town,Request 290 sent for bodden town.,Response code 200 received for bodden town.
Abashiri,Request 291 sent for abashiri.,Response code 200 received for abashiri.
Fare,Request 292 sent for fare.,Response code 200 received for fare.
Karlshamn,Request 293 sent for karlshamn.,Response code 200 received for karlshamn.
Yerbogachën,Request 295 sent for yerbogachen.,Response code 200 received for yerbogachen.
Nome,Request 296 sent for nome.,Response code 200 received for nome.
Tezu,Request 297 sent for tezu.,Response code 200 received for tezu.
Raton,Request 299 sent for raton.,Response code 200 received for raton.
College,Request 300 sent for college.,Response code 200 received for college.
Airai,Request 301 sent for airai.,Response code 200 received for airai.
Fairview,Request 302 sent for fairview.,Response code 200 received for fairview.
Hermanus,Request 303 sent for hermanus.,Response code 200 received for hermanus.
Cascais,Request 304 sent for cascais.,Response code 200 received for cascais.
Baker City,Request 305 sent for baker city.,Response code 200 received for baker city.
Bosaso,Request 306 sent for bosaso.,Response code 200 received for bosaso.
Geraldton,Request 307 sent for geraldton.,Response code 200 received for geraldton.
Hualmay,Request 308 sent for hualmay.,Response code 200 received for hualmay.
